mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0396420;"FLEXORIPP 1¼"" FS-DM-KSR 1¼""x260mm Rd0,75m";Wasserzählerschacht;4250204493429;90289090;Stk;1;1.512,94;;2,50%;30,300;682,0;820,0;704,0
0396421;"FLEXORIPP 1¼"" FS-DM-KSR 1¼""x260mm Rd1,00m";Wasserzählerschacht;4250204493436;90289090;Stk;1;1.512,94;;2,50%;34,200;682,0;820,0;704,0
0396422;"FLEXORIPP 1¼"" FS-DM-KSR 1¼""x260mm Rd1,25m";Wasserzählerschacht;4250204493443;90289090;Stk;1;1.554,02;;2,50%;39,100;682,0;820,0;704,0
0396423;"FLEXORIPP 1¼"" FS-DM-KSR 1¼""x260mm Rd1,50m";Wasserzählerschacht;4250204493450;90289090;Stk;1;1.622,48;;2,50%;42,800;682,0;1570,0;704,0
0396424;"FLEXORIPP 1¼"" FS-DM-KSR 1¼""x260mm Rd1,75m";Wasserzählerschacht;4250204493467;90289090;Stk;1;1.725,17;;2,50%;46,900;682,0;820,0;704,0
0396425;"FLEXORIPP 1¼"" FS-DM-KSR 1¼""x260mm Rd2,00m";Wasserzählerschacht;4250204493474;90289090;Stk;1;1.827,85;;2,50%;50,800;682,0;820,0;704,0
0396430;"FLEXORIPP 1"" FS-DM-KSR 1¼""x175mm Rd0,75m";Österreich;4250204493481;90289090;Stk;1;1.427,87;;2,50%;31,800;682,0;1070,0;704,0
0396431;"FLEXORIPP 1"" FS-DM-KSR 1¼""x175mm Rd1,00m";Österreich;4250204492224;90289090;Stk;1;1.225,42;;2,50%;31,800;682,0;1070,0;704,0
0396432;"FLEXORIPP 1"" FS-DM-KSR 1¼""x175mm Rd1,25m";Österreich;4250204492231;90289090;Stk;1;1.280,17;;2,50%;36,700;682,0;1320,0;704,0
0396433;"FLEXORIPP 1"" FS-DM-KSR 1¼""x175mm Rd1,50m";Österreich;4250204492248;90289090;Stk;1;1.355,48;;2,50%;40,500;682,0;1570,0;704,0
0396433-WRS;"FLEXORIPP 1"" FS-DM-KSR 1¼""x175mm Rd1,50m";Österreich;4255651703428;90289090;Stk;1;1.951,86;;2,50%;40,500;682,0;1570,0;704,0
0396434;"FLEXORIPP 1"" FS-DM-KSR 1¼""x175mm Rd1,75m";Österreich;4250204492255;90289090;Stk;1;1.451,35;;2,50%;44,500;682,0;1820,0;704,0
0396435;"FLEXORIPP 1"" FS-DM-KSR 1¼""x175mm Rd2,00m";Österreich;4250204492262;90289090;Stk;1;1.554,02;;2,50%;48,400;682,0;2070,0;704,0
0396441;"FLEXORIPP 1"" FS-DM-KSR 1""x220mm Rd1,00m";Schweiz;4250204492279;90289090;Stk;1;1.225,42;;2,50%;31,600;682,0;1070,0;704,0
0396442;"FLEXORIPP 1"" FS-DM-KSR 1""x220mm Rd1,25m";Schweiz;4250204492286;90289090;Stk;1;1.280,17;;2,50%;36,600;682,0;1320,0;704,0
0396443;"FLEXORIPP 1"" FS-DM-KSR 1""x220mm Rd1,50m";Schweiz;4250204492293;90289090;Stk;1;1.355,48;;2,50%;40,300;682,0;1570,0;704,0
0396444;"FLEXORIPP 1"" FS-DM-KSR 1""x220mm Rd1,75m";Schweiz;4250204492309;90289090;Stk;1;1.423,94;;2,50%;44,300;682,0;1820,0;704,0
0396445;"FLEXORIPP 1"" FS-DM-KSR 1""x220mm Rd2,00m";Schweiz;4250204492316;90289090;Stk;1;1.526,62;;2,50%;48,200;682,0;2070,0;704,0
0396460;"FLEXORIPP 1"" FS-KMR-FS 1""x190mm Rd0,75m";Wasserzählerschacht;4250204492323;90289090;Stk;1;1.118,61;;2,50%;26,900;682,0;820,0;704,0
0396461;"FLEXORIPP 1"" FS-KMR-FS 1""x190mm Rd1,00m";Wasserzählerschacht;4250204492330;90289090;Stk;1;1.118,61;;2,50%;31,000;682,0;1070,0;704,0
0396462;"FLEXORIPP 1"" FS-KMR-FS 1""x190mm Rd1,25m";Wasserzählerschacht;4250204491135;90289090;Stk;1;1.146,00;;2,50%;35,900;682,0;1320,0;704,0
0396462-DIBT;"FLEXORIPP 1"" FS-KMR-FS 1""x190mm Rd1,25m";Schachtkörper DIBT zertifiziert;4250204498073;90289090;Stk;1;1.552,96;;2,50%;43,500;682,0;1320,0;704,0
0396463;"FLEXORIPP 1"" FS-KMR-FS 1""x190mm Rd1,50m";Wasserzählerschacht;4250204491142;90289090;Stk;1;1.214,45;;2,50%;39,700;682,0;1570,0;704,0
0396464;"FLEXORIPP 1"" FS-KMR-FS 1""x190mm Rd1,75m";Wasserzählerschacht;4250204491159;90289090;Stk;1;1.317,15;;2,50%;43,700;682,0;1820,0;704,0
0396465;"FLEXORIPP 1"" FS-KMR-FS 1""x190mm Rd2,00m";Wasserzählerschacht;4250204491166;90289090;Stk;1;1.419,84;;2,50%;47,600;682,0;2070,0;704,0
0396470;"FLEXORIPP 1¼"" FS-KMR-FS 1¼""x260mm Rd0,75m";Wasserzählerschacht;4250204493030;90289090;Stk;1;1.351,38;;2,50%;29,400;682,0;820,0;704,0
0396471;"FLEXORIPP 1¼"" FS-KMR-FS 1¼""x260mm Rd1,00m";Wasserzählerschacht;4250204493047;90289090;Stk;1;1.351,38;;2,50%;33,300;682,0;820,0;704,0
0396472;"FLEXORIPP 1¼"" FS-KMR-FS 1¼""x260mm Rd1,25m";Wasserzählerschacht;4250204493054;90289090;Stk;1;1.392,44;;2,50%;38,300;682,0;820,0;704,0
0396473;"FLEXORIPP 1¼"" FS-KMR-FS 1¼""x260mm Rd1,50m";Wasserzählerschacht;4250204493061;90289090;Stk;1;1.460,91;;2,50%;42,000;682,0;1570,0;704,0
