Kategorie,Artikelnummer,Beschreibung,Ausfuehrung,Gewinde,Baulaenge,Rohrdeckung,Klasse,Befestigung,Material,PE_Rohr_d,Preis
Schacht,0396032,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",175 mm,"1.25",,,"","",1074.82
Schacht,0396033,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",175 mm,"1.50",,,"","",1143.25
Schacht,0396034,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",175 mm,"1.75",,,"","",1245.95
Schacht,0396035,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",175 mm,"2.00",,,"","",1348.64
Schacht,0396020,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",260 mm,"0.75",,,"","",1280.17
Schacht,0396021,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",260 mm,"1.00",,,"","",1280.17
Schacht,0396022,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",260 mm,"1.25",,,"","",1293.87
Schacht,0396023,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",260 mm,"1.50",,,"","",1362.35
Schacht,0396024,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",260 mm,"1.75",,,"","",1465.01
Schacht,0396025,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",260 mm,"2.00",,,"","",1512.94
Schacht,0396701,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1½""",260 mm,"2.00",,,"","",1353.21
Schacht,0396460,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",190 mm,"0.75",,,"","",1118.61
Schacht,0396461,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",190 mm,"1.00",,,"","",1118.61
Schacht,0396462,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",190 mm,"1.25",,,"","",1146.0
Schacht,0396463,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",190 mm,"1.50",,,"","",1214.45
Schacht,0396464,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",190 mm,"1.75",,,"","",1317.15
Schacht,0396465,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",190 mm,"2.00",,,"","",1419.84
Schacht,0396491,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",220 mm,"1.00",,,"","",1146.0
Schacht,0396492,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",220 mm,"1.25",,,"","",1173.38
Schacht,0396493,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",220 mm,"1.50",,,"","",1248.7
Schacht,0396494,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",220 mm,"1.75",,,"","",1351.38
Schacht,0396495,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1""",220 mm,"2.00",,,"","",1447.22
Schacht,0396480,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",175 mm,"0.75",,,"","",1202.79
Schacht,0396481,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",175 mm,"1.00",,,"","",1146.0
Schacht,0396482,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",175 mm,"1.25",,,"","",1173.38
Schacht,0396483,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",175 mm,"1.50",,,"","",1248.7
Schacht,0396484,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",175 mm,"1.75",,,"","",1351.38
Schacht,0396485,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",175 mm,"2.00",,,"","",1447.22
Schacht,0396470,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",260 mm,"0.75",,,"","",1351.38
Schacht,0396471,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",260 mm,"1.00",,,"","",1351.38
Schacht,0396472,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",260 mm,"1.25",,,"","",1392.44
Schacht,0396473,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",260 mm,"1.50",,,"","",1460.91
Schacht,0396474,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",260 mm,"1.75",,,"","",1563.6
Schacht,0396475,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KMR – Schrägsitzventil","1¼""",260 mm,"2.00",,,"","",1666.29
Schacht,0396410,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",190 mm,"0.75",,,"","",1198.03
Schacht,0396411,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",190 mm,"1.00",,,"","",1198.03
Schacht,0396412,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",190 mm,"1.25",,,"","",1252.81
Schacht,0396413,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",190 mm,"1.50",,,"","",1321.26
Schacht,0396414,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",190 mm,"1.75",,,"","",1423.94
Schacht,0396415,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",190 mm,"2.00",,,"","",1526.62
Schacht,0396441,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",220 mm,"1.00",,,"","",1225.42
Schacht,0396442,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",220 mm,"1.25",,,"","",1280.17
Schacht,0396443,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",220 mm,"1.50",,,"","",1355.48
Schacht,0396444,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",220 mm,"1.75",,,"","",1423.94
Schacht,0396445,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1""",220 mm,"2.00",,,"","",1526.62
Schacht,0396430,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",175 mm,"0.75",,,"","",1427.87
Schacht,0396431,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",175 mm,"1.00",,,"","",1225.42
Schacht,0396432,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",175 mm,"1.25",,,"","",1280.17
Schacht,0396433,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",175 mm,"1.50",,,"","",1355.48
Schacht,0396433-WRS,"FLEXORIPP WZ-Schacht mit Wellrohrschlauch","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",175 mm,"1.50",,,"","",1951.86
Schacht,0396434,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",175 mm,"1.75",,,"","",1451.35
Schacht,0396435,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",175 mm,"2.00",,,"","",1554.02
Schacht,0396420,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",260 mm,"0.75",,,"","",1512.94
Schacht,0396421,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",260 mm,"1.00",,,"","",1512.94
Schacht,0396422,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Krägsitzventil","1¼""",260 mm,"1.25",,,"","",1554.02
Schacht,0396423,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",260 mm,"1.50",,,"","",1622.48
Schacht,0396424,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",260 mm,"1.75",,,"","",1725.17
Schacht,0396425,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – KSR-Ventil","1¼""",260 mm,"2.00",,,"","",1827.85
Schacht,0396310,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",190 mm,"0.75",,,"","",1198.03
Schacht,0396311,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",190 mm,"1.00",,,"","",1198.03
Schacht,0396312,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",190 mm,"1.25",,,"","",1252.81
Schacht,0396313,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",190 mm,"1.50",,,"","",1321.26
Schacht,0396314,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",190 mm,"1.75",,,"","",1423.94
Schacht,0396315,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",190 mm,"2.00",,,"","",1526.62
Schacht,0396341,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",220 mm,"1.00",,,"","",1225.42
Schacht,0396342,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",220 mm,"1.25",,,"","",1280.17
Schacht,0396343,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",220 mm,"1.50",,,"","",1355.48
Schacht,0396344,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",220 mm,"1.75",,,"","",1423.94
Schacht,0396345,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1""",220 mm,"2.00",,,"","",1526.62
Schacht,0396330,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",175 mm,"0.75",,,"","",1448.61
Schacht,0396331,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",175 mm,"1.00",,,"","",1225.42
Schacht,0396332,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",175 mm,"1.25",,,"","",1280.17
Schacht,0396333,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",175 mm,"1.50",,,"","",1355.48
Schacht,0396333-WRS,"FLEXORIPP WZ-Schacht mit Wellrohrschlauch","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",175 mm,"1.50",,,"","",1956.67
Schacht,0396334,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",175 mm,"1.75",,,"","",1451.35
Schacht,0396335,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",175 mm,"2.00",,,"","",1554.02
Schacht,0396320,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",260 mm,"0.75",,,"","",1512.94
Schacht,0396321,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",260 mm,"1.00",,,"","",1512.94
Schacht,0396322,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",260 mm,"1.25",,,"","",1554.02
Schacht,0396323,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",260 mm,"1.50",,,"","",1622.48
Schacht,0396324,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",260 mm,"1.75",,,"","",1725.17
Schacht,0396325,"FLEXORIPP WZ-Schacht","Schrägsitzventil – Druckminderer – Schrägsitzventil","1¼""",260 mm,"2.00",,,"","",1827.85
Schacht,0396160,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",190 mm,"0.75",,,"","",1239.11
Schacht,0396161,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",190 mm,"1.00",,,"","",1239.11
Schacht,0396162,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",190 mm,"1.25",,,"","",1280.17
Schacht,0396163,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",190 mm,"1.50",,,"","",1348.64
Schacht,0396164,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",190 mm,"1.75",,,"","",1451.35
Schacht,0396165,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",190 mm,"2.00",,,"","",1554.02
Schacht,0396191,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",220 mm,"1.00",,,"","",1266.49
Schacht,0396192,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",220 mm,"1.25",,,"","",1307.55
Schacht,0396193,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",220 mm,"1.50",,,"","",1382.88
Schacht,0396194,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",220 mm,"1.75",,,"","",1478.72
Schacht,0396195,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1""",220 mm,"2.00",,,"","",1581.4
Schacht,0396180,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",175 mm,"0.75",,,"","",1431.0
Schacht,0396181,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",175 mm,"1.00",,,"","",1266.49
Schacht,0396182,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",175 mm,"1.25",,,"","",1307.55
Schacht,0396183,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",175 mm,"1.50",,,"","",1382.88
Schacht,0396184,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",175 mm,"1.75",,,"","",1478.72
Schacht,0396185,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",175 mm,"2.00",,,"","",1581.4
Schacht,0396170,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",260 mm,"0.75",,,"","",1485.56
Schacht,0396171,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",260 mm,"1.00",,,"","",1485.56
Schacht,0396172,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",260 mm,"1.25",,,"","",1526.62
Schacht,0396173,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",260 mm,"1.50",,,"","",1595.09
Schacht,0396174,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",260 mm,"1.75",,,"","",1697.78
Schacht,0396175,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – KSR-Ventil","1¼""",260 mm,"2.00",,,"","",1800.47
Schacht,0396110,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",190 mm,"0.75",,,"","",1033.72
Schacht,0396111,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",190 mm,"1.00",,,"","",1033.72
Schacht,0396112,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",190 mm,"1.25",,,"","",1074.82
Schacht,0396113,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",190 mm,"1.50",,,"","",1143.25
Schacht,0396113-WRS,"FLEXORIPP WZ-Schacht mit Wellrohrschlauch","Kugelhahn – KSR-Ventil","1""",190 mm,"1.50",,,"","",1642.56
