mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0395023;Hebe-Leine RD 1,25 m für FLEXORIPP;;4250204492477;56075011;Stk;;20,72;;;0,16;300;400;20
0395024;Hebe-Leine RD 1,50 m für FLEXORIPP;;4250204492484;56075011;Stk;;21,63;;;0,18;300;400;20
0395025;Hebe-Leine RD 1,75 m für FLEXORIPP;;4250204492491;56075011;Stk;;22,94;;;0,2;300;400;20
0395026;Steckschlüssel SW15 für Schachtabdeckung;;4250204495935;82055980;Stk;;12,46;;;0,144;30;50;30
0395048;"Schlauch-Schacht-Passstück 1¼"" x 175mm,Si";;4250204496468;90289090;Stk;;219,49;;;2;31;31;175
0395049;"Schlauch-Schacht-Passstück 1"" x 190mm,Si";;4250204496475;90289090;Stk;;223,68;;;2,057;31;31;190
0395050;"Schlauch-Schacht-Passstück 1¼"" x 260mm,Si";;4250204496482;90289090;Stk;;239,93;;;2,6;31;31;260
0395054;Schlauchleitung mit Kappe 2000 mm;;4250204496499;90289090;Stk;;111,40;;;1,7;400;170;340
0395056;Schlauchleitung mit Kappe 2500mm;;4250204496505;90289090;Stk;;133,02;;;2;340;170;400
0395058;Schlauchleitung mit Kappe 3500mm;;4250204496512;90289090;Stk;;159,87;;;3,2;340;170;400
0395062;Ersatzdichtung Flexorippdeckel m. Zubehör;;4250204496840;90289090;Stk;;16,29;;;0,11;150;220;10
0395064;Ersatzprofildichtung FLEXORIPP-Deckel;;4250204498509;40027000;Stk;;8,35;;;0,11;150;200;10
0396000;FLEXORIPP Abdeckhaube - 200 kg;;4250204489248;90289090;Stk;;92,22;;;17,8;515;515;75
0396001;FLEXORIPP Schachtabdeckung A15, EN124;;4250204489255;90289090;Stk;;245,94;;;38,5;515;515;130
0396002;FLEXORIPP Schachtabdeckung B125, EN124;;4250204489262;90289090;Stk;;338,16;;;47,3;515;515;130
0396004;FLEXORIPP Schachtabdeckung A15, Stehb.;;4255651700717;90289090;Stk;;274,58;;;38,5;574;130;548
0396005;FLEXORIPP Schachtabdeckung B125, Stehb.;;4255651700724;90289090;Stk;;370,76;;;47,3;574;130;548
0396006;FIXRIPP 500, Aufsatz FLEXORIPP komplett;;4255651704371;90289090;Stk;;286,74;;;12,501;555;578;555
0396007;FIXRIPP, Aufsatz für FLEXORIPP komplett;;4255651700632;90289090;Stk;;240,69;;;6,851;580;350;580
0396008;TELERIPP, Aufsatz für FLEXORIPP komplett;;4250204497618;90289090;Stk;;411,39;;;9,7;720;330;720
0396009;Kombischlüssel SW 15 FLEXORIPP-Deckel;;4250204492729;90289090;Stk;;53,92;;;0,994;330;350;30
